uas_hist,vas_hist,uas_fut,vas_fut,date_hist,date_fut
1.855887771,1.211321056,2.765148044,3.067482948,1980-01-01,2020-01-01
2.831350803,1.187275678,2.188755035,1.731346309,1980-02-01,2020-02-01
2.261431336,1.298506021,1.518523633,-0.285708517,1980-03-01,2020-03-01
0.335282132,0.814715385,0.955227911,-0.859000176,1980-04-01,2020-04-01
0.347399086,-0.437998898,0.491008371,-0.927582864,1980-05-01,2020-05-01
1.362135708,-0.727734298,1.12837714,-0.484836407,1980-06-01,2020-06-01
1.000314891,-1.242646575,0.300018266,-1.050671339,1980-07-01,2020-07-01
2.396943569,-0.12421415,1.282647908,-1.119570732,1980-08-01,2020-08-01
1.356162131,0.988904893,1.398836792,0.127329066,1980-09-01,2020-09-01
0.306205496,0.419415787,2.20225203,1.529601276,1980-10-01,2020-10-01
2.851015329,1.803895086,0.408954352,1.963682175,1980-11-01,2020-11-01
1.010575622,2.468016863,1.611864448,3.059262633,1980-12-01,2020-12-01
1.495203733,2.247163534,2.12952435,4.193712473,1981-01-01,2021-01-01
2.011602789,2.506213903,2.29385078,1.523808356,1981-02-01,2021-02-01
-0.626970366,-0.82416787,1.864501715,0.777415305,1981-03-01,2021-03-01
0.692238897,-1.019018978,1.009827554,0.381900668,1981-04-01,2021-04-01
0.093377315,0.200714856,1.105836481,0.734308928,1981-05-01,2021-05-01
0.250963588,-0.806843281,-0.541725799,-1.12844938,1981-06-01,2021-06-01
0.197468653,-0.929648519,0.573333755,-1.008523822,1981-07-01,2021-07-01
0.752175316,-0.55040317,2.018592,-0.583063066,1981-08-01,2021-08-01
0.318257123,0.264710575,0.344287753,-0.906202137,1981-09-01,2021-09-01
2.679993749,1.626319766,1.622881055,0.682259515,1981-10-01,2021-10-01
1.93732053,0.988273025,2.53194654,1.925084949,1981-11-01,2021-11-01
0.793507457,1.65940702,3.135089755,2.777210474,1981-12-01,2021-12-01
3.960995317,1.73282662,1.434816658,1.311173726,1982-01-01,2022-01-01
2.861587167,2.020708263,-0.456723891,0.915162444,1982-02-01,2022-02-01
0.47527796,-0.407150209,1.35781014,0.960935473,1982-03-01,2022-03-01
-0.16225107,-0.661869168,1.690742046,0.474095508,1982-04-01,2022-04-01
0.463179037,-1.06881088,0.429455131,-0.231580585,1982-05-01,2022-05-01
1.694265187,0.075365156,0.767848492,-1.65444082,1982-06-01,2022-06-01
1.231522173,-1.12692529,-0.29137446,-1.720298707,1982-07-01,2022-07-01
0.812279701,-0.722659618,1.126946867,-0.509023599,1982-08-01,2022-08-01
0.29033326,-0.269896228,1.496474326,0.421484292,1982-09-01,2022-09-01
2.080784142,1.861741304,-0.027724121,-0.31626904,1982-10-01,2022-10-01
1.54381752,1.547706246,0.303565204,0.906050563,1982-11-01,2022-11-01
2.566396236,3.01693368,1.527501762,3.447316051,1982-12-01,2022-12-01
2.74363637,2.441005468,1.755949259,2.181592822,1983-01-01,2023-01-01
1.920710742,1.236074567,2.157852292,0.836820841,1983-02-01,2023-02-01
1.141033769,0.451636091,1.787072062,1.85171175,1983-03-01,2023-03-01
0.502160102,0.988122404,0.841424465,-0.145228358,1983-04-01,2023-04-01
1.157802045,0.410440803,-0.786140084,-1.337582111,1983-05-01,2023-05-01
0.836708903,-0.024285927,1.052520126,-0.096071299,1983-06-01,2023-06-01
1.459132433,-0.226857792,0.058227621,-1.289305687,1983-07-01,2023-07-01
0.47585851,-0.481550425,1.519102007,-1.131512523,1983-08-01,2023-08-01
0.686610639,0.576234672,-0.005719244,-0.735374093,1983-09-01,2023-09-01
-0.333065793,1.180617794,1.143337309,1.321556717,1983-10-01,2023-10-01
1.625621974,1.847386599,1.829369783,0.460076883,1983-11-01,2023-11-01
1.797629148,2.124277771,2.657058954,3.113778114,1983-12-01,2023-12-01
-0.705803428,1.478916168,2.862246513,2.700743556,1984-01-01,2024-01-01
0.481096521,2.94252491,0.81682393,1.788737208,1984-02-01,2024-02-01
0.653349102,-0.11053592,1.459488053,0.015633225,1984-03-01,2024-03-01
2.0947752,0.215289205,1.965639949,0.615368187,1984-04-01,2024-04-01
0.21149233,-1.465830028,0.373859577,-0.845155954,1984-05-01,2024-05-01
0.990318517,-0.360009916,0.519096941,-0.552444525,1984-06-01,2024-06-01
0.382741928,-0.601668045,0.954081893,-0.177485589,1984-07-01,2024-07-01
0.649925843,-1.056435913,0.84547776,-1.18913731,1984-08-01,2024-08-01
0.84482637,-0.152092114,1.428005934,0.163821757,1984-09-01,2024-09-01
1.216043711,1.840974987,1.174049556,0.91975528,1984-10-01,2024-10-01
1.023106068,1.926678896,2.155484438,2.110735595,1984-11-01,2024-11-01
1.156377614,3.132096291,2.197537363,2.042597711,1984-12-01,2024-12-01
2.699048162,2.059624553,2.295666933,1.404872715,1985-01-01,2025-01-01
1.351897135,1.513424844,0.651854068,2.090155005,1985-02-01,2025-02-01
0.774256766,-0.142229199,-0.032933384,-0.118868546,1985-03-01,2025-03-01
1.996379614,0.419478312,0.537694827,0.467121705,1985-04-01,2025-04-01
0.207982119,-0.569494367,1.515573323,0.486788735,1985-05-01,2025-05-01
0.754585162,0.570390314,1.085271016,-0.008150582,1985-06-01,2025-06-01
1.20675794,-0.812560484,-0.069991708,-1.892842531,1985-07-01,2025-07-01
1.605527043,-0.206603806,1.264281392,-0.649404109,1985-08-01,2025-08-01
1.765306115,-0.736293882,1.399629951,0.250217825,1985-09-01,2025-09-01
0.327904105,0.179090887,1.513665587,1.063924074,1985-10-01,2025-10-01
1.961342096,2.336456895,3.211934924,2.043774605,1985-11-01,2025-11-01
2.386997581,2.464073062,3.176859975,2.538368702,1985-12-01,2025-12-01
2.160019636,1.80903393,1.716746449,1.891516864,1986-01-01,2026-01-01
1.483320355,1.106749076,3.138082385,1.830077529,1986-02-01,2026-02-01
-0.80942747,0.408908427,1.443935454,0.641528487,1986-03-01,2026-03-01
0.522280653,0.375409365,1.257295579,-0.774719417,1986-04-01,2026-04-01
0.554783672,-0.496537313,0.581394076,-0.489657834,1986-05-01,2026-05-01
0.474785149,-0.43539916,1.417456269,-0.791805923,1986-06-01,2026-06-01
1.804038405,-0.826862611,0.81023477,-1.23386687,1986-07-01,2026-07-01
1.264237404,-0.039914213,0.544494092,-1.240644097,1986-08-01,2026-08-01
1.912270218,0.012664616,1.148508132,-0.228586383,1986-09-01,2026-09-01
0.472681969,1.868013382,1.07192111,1.46071434,1986-10-01,2026-10-01
1.47840488,1.391552299,0.625462204,2.122087479,1986-11-01,2026-11-01
0.685026318,0.3621139,3.245124817,1.112993598,1986-12-01,2026-12-01
2.001440346,1.650739908,2.378613472,0.846568219,1987-01-01,2027-01-01
2.484823704,0.540648099,0.537780926,-0.403729829,1987-02-01,2027-02-01
-0.077572271,0.733729303,1.965014577,1.809249401,1987-03-01,2027-03-01
1.580600441,0.495883942,0.416038014,-0.541400969,1987-04-01,2027-04-01
1.674647868,-0.743981764,0.996910393,-0.318287829,1987-05-01,2027-05-01
-0.110418327,-0.791509211,0.379786327,-1.726172447,1987-06-01,2027-06-01
0.487686411,-0.676075518,0.668920144,-0.999419302,1987-07-01,2027-07-01
0.446361035,-0.738333941,1.080924898,-0.938782811,1987-08-01,2027-08-01
1.017960533,-0.201276951,0.378638878,-0.260157187,1987-09-01,2027-09-01
0.725839913,1.61617285,-0.346171558,0.369501054,1987-10-01,2027-10-01
2.682907581,1.899803996,2.353831053,1.724056423,1987-11-01,2027-11-01
1.702379525,0.406463861,1.329551339,1.775734901,1987-12-01,2027-12-01
2.468049765,-0.10575445,2.416310906,1.610776722,1988-01-01,2028-01-01
2.510974169,1.690513372,2.029818088,3.339502454,1988-02-01,2028-02-01
1.132475182,0.808969617,1.696220487,2.180933595,1988-03-01,2028-03-01
-0.253714439,-0.620923758,0.672238655,0.267393462,1988-04-01,2028-04-01
0.345454432,0.675378591,-0.132977635,-0.755709246,1988-05-01,2028-05-01
1.574860752,-0.604075745,0.641199052,-1.086526453,1988-06-01,2028-06-01
1.841637731,-1.198457301,0.694695175,-0.240600511,1988-07-01,2028-07-01
0.464825362,-1.150995493,0.632261828,-1.971573472,1988-08-01,2028-08-01
-0.014146641,0.438180808,0.436203122,-0.595274001,1988-09-01,2028-09-01
2.578656197,1.387586623,1.56472683,0.950730979,1988-10-01,2028-10-01
2.62250483,2.116125703,1.184743568,0.247253597,1988-11-01,2028-11-01
0.30879122,1.162352215,3.199602842,2.022521973,1988-12-01,2028-12-01
2.69558692,2.465167582,1.063201368,1.767910004,1989-01-01,2029-01-01
1.529150292,0.980841607,0.870531857,1.138840854,1989-02-01,2029-02-01
2.527949512,0.06120953,2.841303945,-0.043195844,1989-03-01,2029-03-01
1.804651797,0.612079859,1.040400971,-0.694881812,1989-04-01,2029-04-01
0.747869688,-0.035974905,1.88561666,-0.721015573,1989-05-01,2029-05-01
-0.242972732,-0.421536386,1.341763258,-0.254516363,1989-06-01,2029-06-01
0.769954085,-0.552344143,0.97604388,-0.736931607,1989-07-01,2029-07-01
1.567923248,-0.561213017,1.419476628,-0.537852854,1989-08-01,2029-08-01
1.389633,0.576777831,1.131383419,0.782694459,1989-09-01,2029-09-01
1.142140239,1.39737916,1.339903593,0.519658536,1989-10-01,2029-10-01
0.725103796,2.421066165,2.57444489,2.073347569,1989-11-01,2029-11-01
2.189088345,2.982668519,1.092969239,1.117433846,1989-12-01,2029-12-01
3.095006585,3.468523264,2.509903073,1.94692415,1990-01-01,2030-01-01
4.287895203,2.409391999,2.43562901,0.087348878,1990-02-01,2030-02-01
2.423273087,1.996653438,2.479782373,0.887502432,1990-03-01,2030-03-01
1.100080371,0.086146355,2.505335391,-0.523149967,1990-04-01,2030-04-01
2.699488759,0.170664497,-0.263864428,-0.467345111,1990-05-01,2030-05-01
1.771201611,-0.247473426,0.725890666,-1.24435401,1990-06-01,2030-06-01
0.644103646,-1.485536635,1.112253606,-0.814899608,1990-07-01,2030-07-01
1.388372272,-0.23586477,0.502916053,-1.352392554,1990-08-01,2030-08-01
0.051335528,0.346378863,0.893250152,0.068996785,1990-09-01,2030-09-01
1.809202939,0.340400189,1.435648263,0.898787677,1990-10-01,2030-10-01
1.940693289,1.79077825,1.282631889,2.598875046,1990-11-01,2030-11-01
1.718592227,1.929707944,1.509867683,1.304172672,1990-12-01,2030-12-01
2.260016084,3.16364634,3.813441038,2.529533625,1991-01-01,2031-01-01
0.624241646,1.201181799,1.232127309,0.690671146,1991-02-01,2031-02-01
1.065481901,1.156376985,1.641014457,0.04550457,1991-03-01,2031-03-01
1.213776469,0.130151689,0.015609771,1.111353934,1991-04-01,2031-04-01
1.077260256,0.497682028,0.277884794,-0.908886433,1991-05-01,2031-05-01
1.225963354,0.058539242,1.211596638,-1.105170965,1991-06-01,2031-06-01
1.192293227,-0.514343917,1.283962458,-0.808753103,1991-07-01,2031-07-01
1.185150474,-1.050009549,0.589695372,-1.265722096,1991-08-01,2031-08-01
0.640506029,-0.074386299,-0.864866793,-0.247042775,1991-09-01,2031-09-01
1.67571795,0.95089443,1.624036193,0.105154514,1991-10-01,2031-10-01
0.435831815,0.616554767,2.58558774,1.11170727,1991-11-01,2031-11-01
2.927075148,1.225660697,2.147277474,2.934594989,1991-12-01,2031-12-01
2.112034857,2.152893901,2.914467573,3.076922536,1992-01-01,2032-01-01
1.94544667,1.807376623,3.160290122,1.429354608,1992-02-01,2032-02-01
0.9834463,-0.410115108,3.084310651,0.211775512,1992-03-01,2032-03-01
1.158966184,-0.52283553,0.387227491,0.420685172,1992-04-01,2032-04-01
2.213451147,0.168354239,1.603400886,-0.660248727,1992-05-01,2032-05-01
0.790656358,0.723226041,-0.117465943,-1.824281514,1992-06-01,2032-06-01
1.875657082,-0.403729863,0.201409765,-1.287553251,1992-07-01,2032-07-01
1.445414305,-0.075752527,1.586589634,-1.000281572,1992-08-01,2032-08-01
1.466828704,0.574774835,0.009651437,0.632299811,1992-09-01,2032-09-01
0.461207926,1.013450056,0.944564223,1.175959289,1992-10-01,2032-10-01
3.021229863,1.511042193,2.887962043,2.770758152,1992-11-01,2032-11-01
2.104828,1.597011507,2.265225291,2.49630034,1992-12-01,2032-12-01
1.141576529,0.933883131,2.326227188,2.874041915,1993-01-01,2033-01-01
3.477213621,0.663533449,2.149551749,0.452439152,1993-02-01,2033-02-01
0.872819588,0.015016973,1.10989204,1.047303215,1993-03-01,2033-03-01
0.848190725,0.911050752,1.027331233,0.482627437,1993-04-01,2033-04-01
1.040600762,-0.30931358,0.903750479,0.452506267,1993-05-01,2033-05-01
0.236761387,-0.704505652,0.359389961,-1.100515485,1993-06-01,2033-06-01
0.376257781,-1.26774025,1.24243322,-1.000416517,1993-07-01,2033-07-01
1.412194252,0.577292997,1.755194068,-0.13887617,1993-08-01,2033-08-01
1.711882889,0.11034447,-0.103425175,0.038090587,1993-09-01,2033-09-01
0.627903908,1.732325971,2.183455586,0.469556525,1993-10-01,2033-10-01
3.199193716,1.360765472,1.981504023,0.584995091,1993-11-01,2033-11-01
2.967893362,2.487623572,2.096031666,0.32795912,1993-12-01,2033-12-01
2.092398763,0.49854514,2.580898881,1.835373044,1994-01-01,2034-01-01
2.789284348,0.999948815,2.137146115,0.820015967,1994-02-01,2034-02-01
1.706586897,2.19289279,0.035897091,-0.517584898,1994-03-01,2034-03-01
0.024222061,-1.323095322,0.005377173,-0.563184202,1994-04-01,2034-04-01
0.148383565,-1.854774922,1.117192864,0.301459253,1994-05-01,2034-05-01
0.5298036,0.029060602,1.199310541,-0.969354331,1994-06-01,2034-06-01
0.338143975,-1.478618741,1.202587873,-0.971076459,1994-07-01,2034-07-01
0.57837921,-0.442488022,0.58143571,-1.316358089,1994-08-01,2034-08-01
1.503568828,0.572814748,1.098990381,0.984926075,1994-09-01,2034-09-01
0.349732636,0.862218916,2.35342437,2.353014827,1994-10-01,2034-10-01
2.143434942,2.77536273,2.316130042,2.168986082,1994-11-01,2034-11-01
3.51030302,3.073869467,4.330557346,2.844671845,1994-12-01,2034-12-01
3.051124692,1.048672885,4.655335188,2.656311035,1995-01-01,2035-01-01
2.722028971,0.539936662,1.365978956,1.057189971,1995-02-01,2035-02-01
-0.154376343,0.19421351,0.687633663,1.001993477,1995-03-01,2035-03-01
0.956029415,0.268734932,0.942335904,-0.575742662,1995-04-01,2035-04-01
0.942401469,-0.495441064,1.907700419,0.396460295,1995-05-01,2035-05-01
1.641302049,-0.053753801,0.560509156,-0.565762177,1995-06-01,2035-06-01
0.045335382,-1.652342558,0.399866045,-1.390649855,1995-07-01,2035-07-01
1.443143487,-0.825216055,1.195378959,-1.136749625,1995-08-01,2035-08-01
1.388109028,0.194698662,1.509408176,0.054420702,1995-09-01,2035-09-01
0.179633573,1.458421685,0.301717043,0.696014404,1995-10-01,2035-10-01
0.858571053,1.065641642,1.133362353,1.31478247,1995-11-01,2035-11-01
2.16457963,2.585548162,3.059997082,2.619138122,1995-12-01,2035-12-01
3.243575931,1.497003555,2.710432827,2.604918838,1996-01-01,2036-01-01
0.234472601,-0.153012007,0.190631896,1.271291345,1996-02-01,2036-02-01
1.422951221,0.528022915,0.908062339,1.018422723,1996-03-01,2036-03-01
1.529029012,0.25991172,0.844256505,-0.172481157,1996-04-01,2036-04-01
1.432595581,0.071227728,-0.186261583,-1.49871701,1996-05-01,2036-05-01
0.914132066,-0.645105854,0.989791065,-0.838702455,1996-06-01,2036-06-01
1.350451291,-0.63156262,1.58848682,-0.90896225,1996-07-01,2036-07-01
1.08174625,-1.426203489,1.268747091,-0.29690513,1996-08-01,2036-08-01
0.488486364,-0.455482706,1.390672743,0.122258216,1996-09-01,2036-09-01
0.611906141,0.517046005,0.329079777,0.885016263,1996-10-01,2036-10-01
1.451509237,2.505090356,1.83963275,1.734517574,1996-11-01,2036-11-01
1.68318218,2.719429255,1.979060233,0.27978228,1996-12-01,2036-12-01
2.153767169,0.697155446,2.990951836,2.906223297,1997-01-01,2037-01-01
3.787365675,2.802932382,0.228302658,-0.054469302,1997-02-01,2037-02-01
1.337987244,1.217003256,2.181563258,2.020671785,1997-03-01,2037-03-01
2.627434015,-0.061840951,1.326984048,-0.160240173,1997-04-01,2037-04-01
1.63444519,0.813189089,0.692731291,-0.341210082,1997-05-01,2037-05-01
1.300450325,-0.332420953,1.43650189,-0.889232934,1997-06-01,2037-06-01
0.399176282,-1.632701218,1.355225086,-0.899413168,1997-07-01,2037-07-01
1.119833261,-0.404784739,1.470661283,-0.247125529,1997-08-01,2037-08-01
2.255675495,0.385437377,1.286708951,-0.983138263,1997-09-01,2037-09-01
1.070602655,1.129103541,1.564583361,1.297003925,1997-10-01,2037-10-01
1.718832672,1.9092682,2.39695859,1.697544634,1997-11-01,2037-11-01
1.38453877,0.847855806,3.432460666,3.156803131,1997-12-01,2037-12-01
3.600172281,2.31427747,2.197184145,2.373010159,1998-01-01,2038-01-01
2.495406687,1.39798829,2.442932129,0.570446745,1998-02-01,2038-02-01
3.071595311,0.453903079,2.036288381,2.113366365,1998-03-01,2038-03-01
0.549396157,0.236390322,1.722420752,1.311396897,1998-04-01,2038-04-01
1.266060472,-0.689769775,0.506904185,-0.568234563,1998-05-01,2038-05-01
1.441894174,-0.25526581,0.981756747,-0.242125109,1998-06-01,2038-06-01
-0.179016188,-1.862033129,0.850992791,-1.567266345,1998-07-01,2038-07-01
0.284127217,-1.937065005,1.599684715,-0.700937837,1998-08-01,2038-08-01
1.203513294,0.378525734,1.413819134,-0.251678977,1998-09-01,2038-09-01
0.950398326,0.475567077,1.72251159,0.597994506,1998-10-01,2038-10-01
2.054027915,0.618085623,1.477573335,2.730273962,1998-11-01,2038-11-01
1.692105353,1.97605145,2.198661685,3.414915562,1998-12-01,2038-12-01
1.762071609,2.73556751,2.016447425,2.236913204,1999-01-01,2039-01-01
3.401778102,3.14379096,1.485070884,1.722952902,1999-02-01,2039-02-01
2.791843832,0.90037784,0.978559494,0.194364876,1999-03-01,2039-03-01
0.596066654,-0.730925262,1.011922151,-0.28565833,1999-04-01,2039-04-01
0.034778692,-0.588476807,0.162542216,-0.996238038,1999-05-01,2039-05-01
0.498766512,-0.22343719,0.32065545,-0.3648514,1999-06-01,2039-06-01
0.895645559,-0.883892477,1.374476075,-0.710064273,1999-07-01,2039-07-01
0.989289284,-0.984318286,2.459359646,-0.094296552,1999-08-01,2039-08-01
0.627274334,0.249899164,1.402143896,-0.019069999,1999-09-01,2039-09-01
2.241521358,1.491568863,0.929706007,1.330119729,1999-10-01,2039-10-01
2.035783231,1.799626768,0.773983061,1.441849709,1999-11-01,2039-11-01
